iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss,train_acc,val_acc,train_nmi,val_nmi,train_ari,val_ari
128,0.007987603545188904,0.008343894965946674,4.7456756874453276e-05,7.520541839767247e-05,0.007940147072076797,0.0082686897367239,0.3595,0.37791,0.0,0.0,0.0,0.0
129,0.0086953304708004,0.008155937306582928,6.603447400266305e-05,8.02881913841702e-05,0.008629295974969864,0.008075648918747902,0.3595,0.37791,0.0,0.0,0.0,0.0
130,0.008458282798528671,0.008438687771558762,5.294052607496269e-05,6.6347885876894e-05,0.008405342698097229,0.00837233942002058,0.3595,0.37791,0.0,0.0,0.0,0.0
131,0.009047474712133408,0.008193258196115494,5.048922321293503e-05,6.976396252866834e-05,0.008996985852718353,0.008123494684696198,0.3595,0.37791,0.0,0.0,0.0,0.0
132,0.00829178374260664,0.008067035116255283,5.1257095037726685e-05,6.883689638925716e-05,0.008240526542067528,0.00799819827079773,0.3595,0.37791,0.0,0.0,0.0,0.0
133,0.008100817911326885,0.008083307184278965,6.204476085258648e-05,5.019528907723725e-05,0.008038773201406002,0.008033111691474915,0.3595,0.37791,0.0,0.0,0.0,0.0
134,0.008316834457218647,0.007704087533056736,4.4324602640699595e-05,6.338671664707363e-05,0.008272510021924973,0.007640700787305832,0.3595,0.37791,0.0,0.0,0.0,0.0
135,0.007955645211040974,0.007013064809143543,5.8150246331933886e-05,7.525757973780856e-05,0.007897495292127132,0.00693780742585659,0.3595,0.37791,0.0,0.0,0.0,0.0
136,0.008241383358836174,0.008267541415989399,6.670568836852908e-05,6.135671719675884e-05,0.00817467737942934,0.008206184953451157,0.3595,0.37791,0.0,0.0,0.0,0.0
137,0.008296334184706211,0.007665401324629784,5.550980131374672e-05,6.249170837691054e-05,0.008240824565291405,0.007602909579873085,0.3595,0.37791,0.0,0.0,0.0,0.0
138,0.007810012437403202,0.00668732775375247,6.276122439885512e-05,7.250859925989062e-05,0.007747251074761152,0.006614819169044495,0.3595,0.37791,0.0,0.0,0.0,0.0
139,0.009106321260333061,0.0071674007922410965,6.238769856281579e-05,5.205312845646404e-05,0.00904393382370472,0.0071153477765619755,0.3595,0.37791,0.0,0.0,0.0,0.0
140,0.008164132945239544,0.007490511983633041,5.6200344261014834e-05,4.592912591760978e-05,0.008107932284474373,0.0074445828795433044,0.3595,0.37791,0.0,0.0,0.0,0.0
141,0.007858430035412312,0.007206110283732414,6.194506568135694e-05,6.152209243737161e-05,0.007796484511345625,0.00714458804577589,0.3595,0.37791,0.0,0.0,0.0,0.0
142,0.007827267050743103,0.0063926298171281815,4.7476823965553194e-05,5.588226849795319e-05,0.007779790088534355,0.006336747668683529,0.3595,0.37791,0.0,0.0,0.0,0.0
143,0.008091333322227001,0.007625154219567776,4.6157460019458085e-05,4.7849393013166264e-05,0.008045176044106483,0.007577304728329182,0.3595,0.37791,0.0,0.0,0.0,0.0
144,0.007962588220834732,0.006720998790115118,5.542329381569289e-05,6.314987695077434e-05,0.007907165214419365,0.006657849065959454,0.3595,0.37791,0.0,0.0,0.0,0.0
145,0.008221464231610298,0.007235199678689241,5.74705409235321e-05,6.390690396074206e-05,0.008163993246853352,0.007171292789280415,0.3595,0.37791,0.0,0.0,0.0,0.0
146,0.008083191700279713,0.006765502970665693,5.804253669339232e-05,7.157584332162514e-05,0.008025148883461952,0.006693927105516195,0.3595,0.37791,0.0,0.0,0.0,0.0
147,0.008652611635625362,0.0073525006882846355,4.831721162190661e-05,6.0353493609e-05,0.008604294620454311,0.007292147260159254,0.3595,0.37791,0.0,0.0,0.0,0.0
148,0.007826912216842175,0.007494970690459013,4.677598917623982e-05,9.615023736841977e-05,0.007780136074870825,0.007398820482194424,0.3595,0.37791,0.0,0.0,0.0,0.0
149,0.007994080893695354,0.007103150710463524,4.654303484130651e-05,5.9280522691551596e-05,0.007947538048028946,0.007043870165944099,0.3595,0.37791,0.0,0.0,0.0,0.0
150,0.007294862996786833,0.006924568675458431,6.745354039594531e-05,7.051992724882439e-05,0.00722740963101387,0.006854048930108547,0.3595,0.37791,0.0,0.0,0.0,0.0
151,0.0077508799731731415,0.007094557862728834,6.605171074625105e-05,5.8805919252336025e-05,0.007684828247874975,0.007035751827061176,0.3595,0.37791,0.0,0.0,0.0,0.0
152,0.007681953255087137,0.006966357119381428,7.04399062669836e-05,6.094217678764835e-05,0.007611513137817383,0.006905415095388889,0.3595,0.37791,0.0,0.0,0.0,0.0
